"Note: Inserting images over cells in sheets is pretty quirky, so if some of the trainer images on your screen appear misplaced, it's because the sheet couldn't load them all in properly. This visual bug can easily be fixed by refreshing the sheet and slowly scrolling through the part your using, to let each of the trainer images load in properly. If that doesn't work try switching to a different tab (on the bottom), then switching back. - Garrett :)",,,,,,
Youngster Calvin (Route 102),,,,,,
,,,,,,
,Liechi Berry,Silk Scarf,Miracle Seed,Twisted Spoon,,
,Rock Head,Sand Veil,Swift Swim,Levitate (24),,
,Swagger,Thunder Wave,Aerial Ace,Psybeam,,
,Dig ,Teeter Dance,Rock Tomb,Rock Tomb,,
,Rock Tomb,Needle Arm,Giga Drain,Signal Beam,,
,Self Destruct,Stomp,Mud Shot,Self Destruct,,
,,,,,,
Leader Roxanne,,,,,,
,,,,,,
,Nosepass (f),Lileep (m),Anorith (m),Relicanth (m),Shuckle (f),Lunatone
,Lv. 15 (Naughty),Lv. 14,Lv. 14 (Quiet),Lv. 14 (Lax),Lv. 14 (Adamant),Lv. 15 (Lonely)
,Sitrus Berry,Sitrus Berry,Lum Berry,Sitrus Berry,Sitrus Berry,Lum Berry
,Battle Armor,Suction Cups,Battle Armor,Rock Head,Shell Armor,Levitate
,Self Destruct,Sludge Bomb,Aerial Ace,Rock Throw,Toxic,Hypnosis
,Attract,Giga Drain,Brick Break,Secret Power,Curse,Moonlight
,Seismic Toss,Recover,X-Scissors,Yawn,Rollout,Confusion
,Thunder Wave,Ancient Power,Rock Slide,Water Pulse,Sunny Day,Rock Slide
,,,,,,
,,,,,,
Hiker Devan (Route 116),,,,,,
,,,,,,
,Geodude (m),Diglett (m),Trapinch (m),,,
,Lv. 10 (Calm),Lv. 9,Lv. 9,,,
,Sitrus Berry,None,None,,,
,Rock Head,Arena Trap (24),Arena Trap,,,
,Rock Tomb,Rock Tomb,Quick Attack,,,
,Dig,Aerial Ace,Dig,,,
,Secret Power,Dig,Rock Tomb,,,
,Seismic Toss,Secret Power,Secret Power,,,
,,,,,,
Bird Keeper Johnson (Route 116),,,,,,
,,,,,,
,Hoothoot (m),Swablu (m),Natu (m),,,
,Lv. 9 (Quiet),Lv. 9 (Jolly),Lv. 9 (Calm),,,
,None,None,None,,,
,Insomnia (18),Natural Cure (18),Early Bird (18),,,
,Hypnosis,Sing,Confuse Ray,,,
,Night Shade,Aerial Ace,Confusion,,,
,Reflect,Secret Power,Aerial Ace,,,
,Confusion,Rest,Night Shade,,,
,,,,,,
School Kid Karen (Route 116),,,,,,
,,,,,,
,Totodile (m),Cyndaquil (m),Chikorita (m),,,
,Lv. 9 (Sassy),Lv. 9 (Lonely),Lv. (Impish),,,
,None,None,None,,,
,Torrent (21),Blaze (18),Overgrow (24),,,
,Bite,Quick Attack,Synthesis,,,
,Dive,Ember,Mega Drain,,,
,Dig,Dig,Secret Power,,,
,,,,,,
,,,,,,
School Kid Jerry (Route 116),,,,,,
,,,,,,
,Nidoran (m),Shuppet (m),Phanpy (m),,,
,Lv. 10 (Calm),Lv. 9 (Careful),Lv. 10 (Timid),,,
,None,None,None,,,
,Poison Point (24),Insomnia (12),Cute Carm (24),,,
,Horn Attack,Shadow Sneak,Mud Shot,,,
,Toxic,,Rock Tomb,,,
,Dig,,Secret Power,,,
,Rock Tomb,,Attract,,,
,,,,,,
Lady Sarah (Route 116),,,,,,
,,,,,,
,Spoink (f),Meowth (f),Bellsprout (f),,,
,Lv. 10 (Relaxed),Lv. 10 (Rash),Lv. 10,,,
,Oran Berry,Oran Berry,Poison Barb,,,
,Thick Fat (18),Limber (18),Chlorophyll (24),,,
,Confusion,Fake Out,Stun Spore,,,
,Confuse Ray,Aerial Ace,Acid,,,
,Bounce,Pay Day,Secret Power,,,
,Secret Power,Bite,Mega Drain,,,
,,,,,,
Rich Boy Dawson (Route 116),,,,,,
,,,,,,
,Swinub (m),Mareep (m),Aipom (m),,,
,Lv. 10,Lv. 10 (Impish),Lv. 9 (Naive),,,
,Oran Berry,Oran Berry,None,,,
,Oblivious (24),Static,Vital Spirit (24),,,
,Ice Shard,Thunder Wave,Fake Out,,,
,Mud Shot,Thundershock,Aerial Ace,,,
,Rock Tomb,Secret Power,Cut,,,
,Secret Power,,Tickle,,,
,,,,,,
Youngster Joey (Route 116),,,,,,
,,,,,,
,Rattata (m),Ekans (m),Sandshrew (m),Slakoth (m),,
,Lv. 10 (Adamant),Lv. 10 (Brave),Lv. 10,Lv. 10 (Adamant),,
,Sitrus Berry,None,None,Choice Band,,
,Run Away,Intimidate (24),Sand Veil (24),,,
,Quick Attack,Glare,Sand Tomb,Crush Claw,,
,Bite,Acid,Rock Tomb,,,
,Secret Power,Bite,Swift,,,
,Water Pulse,Mega Drain,Aerial Ace,,,
,,,,,,
Hiker Clark (Route 116),,,,,,
,,,,,,
,Slugma (m),Teddiursa (m),Gulpin (m),,,
,Lv. 10 (Calm),Lv. 10 (Calm),Lv. 10 (Modest),,,
,Charcoal,Spell Tag,Berry Juice,,,
,Flame Body,Gust (24),Liquid Ooze (24),,,
,Recover,Lick,Acid,,,
,Flame Wheel,Facade,Swallow,,,
,Rock Tomb,Snore,Toxic,,,
,Body Slam,Rest,Secret Power,,,
,,,,,,
Lass Janice (Route 116),,,,,,
,,,,,,
,Jigglypuff (f),Nidoran (f),Marill (f),,,
,Lv. 10 (Quiet),Lv. 10 (Rash),Lv. 9 (Adamant),,,
,None,None,None,,,
,Cute Charm (24),Poison Point (18),Huge Power,,,
,Sing,Toxic,Bubblebeam,,,
,Present,Bite,Secret Power,,,
,Tackle,Secret Power,Tickle,,,
,,,,,,
,,,,,,
Bug Maniac Jose (Route 116),,,,,,
,,,,,,
,Dustox (m),Beautifly (m),Beedrill (m),Butterfree (m),,
,Lv. 10 (Impish),Lv. 10 (Mild),Lv. 10 (Naughty),Lv. 10 (Quiet),,
,Sitrus Berry,Miracle Seed,Black Belt,Cheri Berry,,
,Shield Dust,Swarm (24),Swarm (24),Compound Eyes (24),,
,Iron Defense,Gust,Rock Smash,Stun Spore,,
,Light Screen,Leech Life,Aerial Ace,Supersonic,,
,Confusion,Mega Drain,Secret Power,Mega Drain,,
,Toxic,Stun Spore,Giga Drain,Confusion,,
,,,,,,
Team Aqua Grunt (Rusturf Tunnel),,,,,,
,,,,,,
,Dratini (m),Tentacool (m),Voltorb,Barboach (m),Snorunt (m),Carvanha (m)
,Lv. 14 (Impish),Lv. 14 (Quiet),Lv. 13 (Jolly),Lv. 14 (Lonely),Lv. 13,Lv. 15 (Calm)
,Scope Lens,Lax Incense,King's Rock,Focus Band,King's Rock,Scope Lens
,Shed Skin,Clear Body,Static,Oblivious,Inner Focus,Rough Skin
,Thunder Wave,Toxic,Thunder Wave,Magnitude,Bite,Ancient Power
,Dragonbreath,Water Pulse,Sonicboom,Dragon Dance,Body Slam,Bounce
,Water Pulse,Icy Wind,Shock Wave,Water Pulse,Ice Shard,Water Pulse
,Headbutt,Secret Power,Self Destruct,Secret Power,Attract,Crunch
,,,,,,
Battle Girl Laura (Dewford Gym),,,,,,
,,,,,,
,Makuhita (m),Machop (m),Meditite (f),,,
,Lv. 16,Lv. 16 (Bold),Lv. 16 (Mild),,,
,Sitrus Berry,Sitrus Berry,Sitrus Berry,,,
,Thick Fat,Guts,Pure Power,,,
,Fake Out,Revenge,Fake Out,,,
,Force Palm,Rock Tomb,Rock Smash,,,
,Rock Tomb,Facade,Rock Tomb,,,
,Shadow Punch,Sleep Talk,Body Slam,,,
,,,,,,
Black Belt Takao (Dewford Gym),,,,,,
,,,,,,
,Tyrogue (m),Mankey (m),Vigoroth (m),,,
,Lv. 16 (Relaxed),Lv. 16 (Timid),Lv. 16 (Modest),,,
,Salac Berry,Sitrus Berry,Rawst Berry,,,
,Guts,Vital Spirit,Vital Spirit,,,
,Mach Punch,Brick Break,Brick Break,,,
,Hi Jump Kick,Rock Tomb,Slack Off,,,
,Facade,Facade,Counter,,,
,Rock Slide,Bulk Up,Shadow Ball,,,
,,,,,,
Battle Girl Lilith (Dewford Gym),,,,,,
,,,,,,
,Wynaut (f),Shroomish (f),Combusken (m),,,
,Lv. 15,Lv. 16 (Timid),Lv. 16 (Jolly),,,
,Lum Berry,Sitrus Berry,Starf Berry,,,
,Shadow Tag,Effect Spore,Blaze,,,
,Counter,Spore,Ember,,,
,Mirror Coat,Giga Drain,Double Kick,,,
,Tickle,Facade,Rock Tomb,,,
,Safeguard,Substitute,Endure,,,
,,,,,,
Black Belt Cristian (Dewford Gym),,,,,,
,,,,,,
,Magby (m),Makuhita (m),Elekid (m),Mankey (m),,
,Lv. 15 (Modest),Lv. 16 (Impish),Lv. 15 (Mild),Lv. 16,,
,Black Belt,Sitrus Berry,Black Belt,Liechi Berry,,
,Flame Body (18),Thick Fat,Static (15),Vital Spirit,,
,Fire Punch,Bulk Up,Thunder Punch,Substitute,,
,Brick Break,Revenge,Brick Break,Reversal,,
,Thunder Punch,Rock Slide,Ice Punch,Rock Tomb,,
,Psychic,Shadow Punch,Fire Punch,Secret Power,,
,,,,,,
Sailor Brenden (Dewford Gym),,,,,,
,,,,,,
,Breloom (m),Poliwhirl (m),Machoke (m),,,
,Lv. 16,Lv. 16 (Sassy),Lv. 16 (Naughty),,,
,Miracle Seed,Soft Sand,Sitrus Berry,,,
,Effect Spore (18),Swift Swim (24),Guts,,,
,Stun Spore,Hypnosis,Karate Chop,,,
,Mach Punch,Water Pulse,Rock Tomb,,,
,Giga Drain,Ice Punch,Bulk Up,,,
,Rock Tomb,Mud Shot,Rest,,,
,,,,,,
Battle Girl Jocelyn (Dewford Gym),,,,,,
,,,,,,
,Heracross (f),Wobbuffet (f),Meditite (f),,,
,Lv. 16 (Mild),Lv. 15 (Lonely),Lv. 16 (Bold),,,
,None,None,Lum Berry,,,
,Guts (0),Shadow Tag (0),Pure Power,,,
,Rock Smash,Charm,Revenge,,,
,Aerial Ace,Mirror Coat,Ice Punch,,,
,Rock Tomb,Counter,Thunder Punch,,,
,Sleep Talk,Encore,Psychic,,,
,,,,,,
Leader Brawly,,,,,,
,,,,,,
,Hitmontop (m),Hitmonlee (m),Hitmonchan (m),Meditite (m),Poliwrath (m),Hariyama (m)
,Lv. 17 (Quiet),Lv. 17,Lv. 17 (Gentle),Lv. 19 (Mild),Lv. 17 ,Lv. 19 (Modest)
,Lum Berry,Sitrus Berry,Chest Berry,Lum Berry,Lum Berry,Lum Berry
,Intimidate,Limber,Guts,Pure Power,Swift Swim,Thick Fat
,Fake Out,Sleep Talk,Shadow Punch,Brick Break,Hypnosis,Force Palm
,Mach Punch,Rolling Kick,Mach Punch,Shadow Ball,Surf,Shadow Punch
,Rock Slide,Rock Slide,Rock Slide,Rock Slide,Ice Punch,Rock Slide
,Secret Power,Secret Power,Facade,Fake Out,Brick Break,Fake Out
,,,,,,
Team Aqua Grunt (Route 106),,,,,,
,,,,,,
,Gastly (m),Porygon,Marshtomp (m),Drowzee (m),Sneasel (m),Clamperl (m)
,Lv. 14 (Gentle),Lv. 14 (Adamant),Lv. 16 (Calm),Lv. 14,Lv. 13 (Modest),Lv. 15 (Impish)
,Scope Lens,Starf Berry,Focus Band,Scope Lens,King's Rock,Deep Sea Scale
,Levitate,Trace (24),Torrent (12),Insomnia,Inner Focus (24),Shell Armor
,Shadow Ball,Tri Attack,Mud Shot,Hypnosis,Ice Beam,Toxic
,Sludge Bomb,Psybeam,Water Pulse,Dream Eater,Aerial Ace,Water Pulse
,Self Destruct,Recover,Ice Punch,Brick Break,Secret Power,Aurora Beam
,Hypnosis,Recycle,Toxic,Confusion,Surf,Rest
,,,,,,
Fisherman Elliot (Route 106),,,,,,
,,,,,,
,Poligwag (m),Wooper (m),Remoraid (m),Horsea (m),,
,Lv. 15 (Bold),Lv. 15,Lv. 15 (Sassy),Lv. 15 (Careful),,
,None,None,None,None,,
,Swift Swim,Water Absorb,Hustle,Swift Swim,,
,Hypnosis,Magnitude,Flamethrower,Aurora Beam,,
,Secret Power,Rock Tomb,Psybeam,Dragon Breath,,
,Water Pulse,Recover,Water Pulse,Water Pulse,,
,,,,,,
,,,,,,
Sailor Huey (Route 109),,,,,,
,,,,,,
,Seel (f),Electrike (f),Spheal (f),Growlithe (m),,
,Lv. 16 (Careful),Lv. 15 (Jolly),Lv. 16,Lv. 15 (Relaxed),,
,None,None,None,None,,
,Thick Fat,Static,Thick Fat,Intimidate,,
,Aurora Beam,Secret Power,Powder Snow,Secret Power,,
,Water Pulse,Shock Wave,Water Pulse,Flame Wheel,,
,Ice Shard,Bite,Secret Power,Bite,,
,,,,,,
,,,,,,
Tuber Gwen (Route 109),,,,,,
,,,,,,
,Spheal (f),Treecko (m),Diglett (f),,,
,Lv. 15 (Modest),Lv. 15 (Sassy),Lv. 15 (Naughty),,,
,Sitrus Berry,None,Soft Sand,,,
,Thick Fat,Overgrow (24),Arena Trap,,,
,Ice Ball,Mega Drain,Mud Shot,,,
,Defense Curl,Bite,Rock Tomb,,,
,Rollout,Quick Attack,Secret Power,,,
,,Secret Power,Flail,,,
,,,,,,
Tuber Austina (Route 109),,,,,,
,,,,,,
,Lotad (f),Hoothoot (f),Mudkip (m),,,
,Lv. 15 (Lax),Lv. 15 (Bold),Lv. 15 (Quiet),,,
,None,None,None,,,
,Swift Swim,Insomnia (24),Torrent (24),,,
,Fake Out,Hypnosis,Water Gun,,,
,Mega Drain,Night Shade,Endeavor,,,
,Dive,Aerial Ace,Mud-Slap,,,
,,,,,,
,,,,,,
Bird Keeper Elijah (Route 109),,,,,,
,,,,,,
,Psyduck (m),Delibird (m),Torchic (m),Doduo (m),,
,Lv. 15 (Impish),Lv. 15 (Bold),Lv. 15 (Naive),Lv. 15 (Naive),,
,None,None,None,None,,
,Swift Swim (24),Vital Spirit (24),Speed Boost (24),Early Bird,,
,Bubblebeam,Ice Punch,Will-o-Wisp,Quick Attack,,
,Confusion,Aerial Ace,Aerial Ace,Mud-Slap,,
,Aerial Ace,Ice Shard,Seismic Toss,Peck,,
,,,,,,
,,,,,,
Fisherman Carter (Route 109),,,,,,
,,,,,,
,Slowpoke (m),Shellder (m),Barboach (m),,,
,Lv. 15 (Gentle),Lv. 15 (Impish),Lv. 16 (Sassy),,,
,None,None,None,,,
,Oblivious (24),Shell Armor,Oblivious,,,
,Slack Off,Ice Shard,Mud Shot,,,
,Bubblebeam,Bubblebeam,Bounce,,,
,Confusion,Mud Shot,Water Pulse,,,
,,,,,,
,,,,,,
Tuber Ricky (Route 109),,,,,,
,,,,,,
,Seedot (m),Sandshrew (m),Farfetch'd (m),,,
,Lv. 16 (Mild),Lv. 16 (Brave),Lv. 16 (Adamant),,,
,None,None,Stick,,,
,Chlorophyll,Sand Veil,Keen Eye,,,
,Giga Drain,Magnitude,Quick Attack,,,
,Nature Power,Rock Slide,Slash,,,
,Quick Attack,Slash,Aerial Ace,,,
,Synthesis,Mud-Slap,Steel Wing,,,
,,,,,,
Tuber Hailey (Route 109),,,,,,
,,,,,,
,Azurill (f),Numel (f),Jigglypuff (f),,,
,Lv. 16 (Relaxed),Lv. 16 (Impish),Lv. 16 (Jolly),,,
,Choice Band,Berry Juice,Mystic Water,,,
,Huge Power,Oblivious,Cute Charm,,,
,Double-Edge,Magnitude,Sing,,,
,,Flame Wheel,Water Pulse,,,
,,Rock Tomb,Secret Power,,,
,,,Seismic Tower,,,
,,,,,,
Sailor Edmond (Route 109),,,,,,
,,,,,,
,Krabby (m),Gulpin (m),Exeggcute (m),,,
,Lv. 16,Lv. 16 (Impish),Lv. 15 (Timid),,,
,Mystic Water,Berry Juice,None,,,
,Hyper Cutter,Liquid Ooze,Chlorophyll,,,
,Crabhammer,Sludge Bomb,Mega Drain,,,
,Mud Shot,Swallow,Confusion,,,
,Secret Power,Water Pulse,Hypnosis,,,
,X-Scissors,Giga Drain,Secret Power,,,
,,,,,,
Tuber Lola (Route 109),,,,,,
,,,,,,
,Hoppip (f),Marill (f),Swablu (f),,,
,Lv. 16 ,Lv. 16 (Modest),Lv. 16 (Impish),,,
,None,None,None,,,
,Chlorophyll,Huge Power,Natural Cure (24),,,
,Stun Spore,Rollout ,Aerial Ace,,,
,Leech Seed,Defense Curl,Secret Power,,,
,Aerial Ace,Bubblebeam,Rest,,,
,,,,,,
,,,,,,
Tuber Chandler (Route 109),,,,,,
,,,,,,
,Corphish (m),Spearow (m),Spoink (m),,,
,Lv. 16 (Impish),Lv. 16 (Calm),Lv. 16 (Jolly),,,
,None,None,None,,,
,Shell Armor (24),Keen Eye (24),Thick Fat (24),,,
,Aerial Ace,Drill Run,Psybeam,,,
,Crabhammer,Quick Attack,Confuse Ray,,,
,Mud-Slap,Aerial Ace,Secret Power,,,
,,,,,,
,,,,,,
Aqua Grunt #1 (Slateport City) (B2B w/ Grunt #2),,,,,,
,,,,,,
,AI_FLAG:,11,,,,
,Shellder (m),Croconaw (m),Grimer (m),Lombre (m),Staryu,Vigoroth (m)
,Lv. 17 (Sassy),Lv. 18,Lv. 17 (Jolly),Lv. 18 (Lax),Lv. 19 (Naive,Lv. 18 (Hasty)
,Scope Lens,Scope Lens,Scope Lens,Focus Band,King's Rock,Rawst Berry
,Shell Armor,Torrent,Poison Point,Swift Swim,Natural Cure,Vital Spirit
,Icy Wind,Brick Break,Self Destruct,Leech Seed,Thunder Wave,Aerial Ace
,Self Destruct,Crunch,Brick Break,Synthesis,Shock Wave,Surf
,Water Pulse,Body Slam,Shadow Sneak,Icy Wind,Water Pulse,Slack Off
,Mud Shot,Water Pulse,Sludge Bomb,Mega Drain,Tri Attack,Secret Power
,,,,,,
Aqua Grunt #2 (Slateport City) (B2B w/ Grunt #1),,,,,,
,,,,,,
,AI_FLAG:,11,,,,
,Wynaut (f),Chinchou (f),Smoochum (f),Wailmer (f),Dratini (f),Clamperl (f)
,Lv. 17,Lv. 19,Lv. 19 (Naughty),Lv. 18,Lv. 18 (Lax),Lv. 20 (Brave)
,Sitrus Berry,King's Rock,Scope Lens,Lax Incense,Leppa Berry,Deep Sea Tooth
,Shadow Tag,Volt Absorb,Oblivious,Pressure,Shed Skin,Shell Armor
,Mirror Coat,Thunder Wave,Sing,Self Destruct,Thunder Wave,Rain Dance
,Counter,Water Pulse,Ice Punch,Body Slam,Dragon Rage,Muddy Water
,Destiny Bond,Shock Wave,Psybeam,Rain Dance,,Rest 
,,Headbutt,Rain Dance,Water Pulse,,Sleep Talk
,,,,,,
Pokefan Isabel (Route 110),,,,,,
,,,,,,
,Wailmer (f),Nidorina (f),Delcatty (f),,,
,Lv. 16 (Brave),Lv. 16,Lv. 16 (Calm),,,
,Sitrus Berry,None,Leftovers,,,
,Pressure,Poison Point,Cute Charm,,,
,Attract,Attract,Thunder Wave,,,
,Dive,Sludge Bomb,Attract,,,
,Protect,Brick Break,Protect,,,
,Bounce,Water Pulse,Headbutt,,,
,,,,,,
Pokefan Kaleb (Route 110),,,,,,
,,,,,,
,Pikachu (m),Nidorino (m),Mawile (m),,,
,Lv. 17 (Adamant),Lv. 16 (Timid),Lv. 16,,,
,Sitrus Berry,Mystic Water,Berry Juice,,,
,Static,Poison Point,Intimidate (18),,,
,Thunder Punch,Brick Break,Brick Break,,,
,Quick Attack,Sludge Bomb,Rock Tomb,,,
